Ethnicity,Gender,Variables,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malays,Male,10 - 14 Years,14393,15190,16094,17283,18313,19204,19908,20339,20965,21900,22826,23841,24714,25141,25407,25179,24646,24275,23694,23089,22522,22084,21549,20785,19789,19016,18121,17508,17117
Malays,Male,15 - 19 Years,16510,15875,15233,14498,14267,14379,15146,16004,17135,18121,18992,19700,20163,20800,21777,22764,23733,24632,25053,25315,25070,24543,24174,23602,23006,22504,22160,21672,20922
Malays,Male,20 - 24 Years,19686,18365,17361,16848,16433,16380,15803,15198,14483,14196,14266,14990,15870,16732,17795,18793,19546,19993,20711,21705,22657,23646,24461,24908,25206,25006,24538,24219,23682
Malays,Male,25 - 29 Years,23932,23757,23195,22339,20789,19252,17991,17054,16592,16249,16214,15702,15149,14365,14125,14249,14952,15855,16997,18020,18895,19574,19973,20621,21596,22571,23559,24437,24921
Malays,Male,30 - 34 Years,20859,21742,22577,23071,23575,23449,23255,22639,21796,20281,18802,17675,16900,16403,16147,16151,15672,15115,14462,14239,14339,15047,15921,17004,17966,18850,19575,19997,20661
Malays,Male,35 - 39 Years,15073,16290,17439,18547,19364,20408,21245,22058,22544,23029,22923,22808,22269,21406,19981,18630,17526,16726,16363,16092,16147,15622,15044,14338,14083,14181,14936,15830,16955
Malays,Male,40 - 44 Years,10467,11543,11847,12620,13811,14820,15972,17068,18108,18893,19858,20762,21669,22094,22640,22402,22329,21840,21154,19814,18495,17353,16509,16122,15803,15801,15354,14813,14169
Malays,Male,45 - 49 Years,5710,5830,7167,8246,9048,10309,11337,11610,12370,13510,14459,15574,16676,17668,18513,19452,20316,21124,21624,22127,22088,21931,21457,20747,19363,18047,16950,16143,15807
Malays,Male,50 - 54 Years,6426,6362,6094,5892,5879,5588,5699,6998,8022,8800,10000,10973,11278,11864,13016,13982,15099,16177,17225,18024,18965,19790,20539,21006,21462,21406,21342,20859,20212
Malays,Male,55 - 59 Years,5784,6016,6136,6202,6255,6084,6039,5792,5583,5564,5332,5402,6620,7523,8304,9497,10435,10730,11385,12467,13397,14444,15489,16523,17271,18189,18982,19777,20185
Malays,Male,60 - 64 Years,5657,5427,5122,4966,4944,5225,5451,5567,5641,5675,5503,5525,5311,5026,5054,4813,4934,6069,7041,7778,8931,9813,10038,10661,11686,12584,13619,14604,15577
Malays,Male,65 - 69 Years,4347,4532,4603,4683,4806,4805,4610,4372,4251,4260,4572,4737,4829,4813,4869,4744,4789,4656,4503,4539,4337,4418,5477,6380,7044,8046,8838,9132,9762
Malays,Male,70 - 74 Years,2554,2762,3000,3159,3298,3371,3524,3622,3731,3841,3831,3689,3525,3367,3411,3677,3844,3944,3993,4035,3983,4064,3923,3815,3883,3721,3806,4734,5518
Malays,Male,75 - 79 Years,1199,1204,1280,1384,1566,1766,1850,2019,2138,2254,2379,2513,2625,2309,2559,2610,2551,2490,2527,2571,2804,2918,3020,3049,3132,3126,3217,3110,3023
Malays,Male,80 - 84 Years,571,595,698,754,730,698,704,736,817,916,1018,1103,1260,1323,1369,1421,1452,1476,1539,1688,1706,1674,1636,1678,1754,1906,1992,2031,2107
Malays,Male,85 Years & Over,254,265,298,341,343,364,379,456,487,465,440,454,528,578,640,696,737,814,895,926,993,1029,1107,1173,1259,1303,1316,1323,1366
Malays,Female,0 - 4 Years,22139,22816,23557,23786,23870,23497,23121,22527,22110,21338,20795,20325,19799,18924,18377,17557,17015,16424,16173,15934,15707,15282,15120,14911,15030,15415,16096,16771,17545
Malays,Female,5 - 9 Years,18163,18887,19508,20214,21112,21971,22697,23486,23847,23979,23614,23265,22681,22150,21421,21058,20568,20033,19215,18699,17818,17147,16556,16291,15973,15784,15439,15279,15052
Malays,Female,10 - 14 Years,13324,14017,14934,16052,16965,18055,18734,19338,19973,20884,21772,22585,23460,23862,23995,23586,23225,22605,22213,21479,21067,20523,19967,19117,18606,17748,17146,16571,16321
Malays,Female,15 - 19 Years,15368,14710,14004,13369,13222,13317,14016,14906,15982,16847,17923,18588,19222,19862,20792,21770,22543,23415,23785,23958,23557,23170,22547,22165,21418,21080,20590,20063,19248
Malays,Female,20 - 24 Years,18922,17726,16765,16418,15930,15763,15082,14385,13785,13610,13647,14346,15256,16245,17093,18140,18750,19335,19983,20935,21852,22596,23363,23770,23959,23584,23260,22669,22304
Malays,Female,25 - 29 Years,22713,22802,22603,21800,20726,19337,18141,17209,16871,16394,16237,15741,15174,14636,14595,14726,15403,16216,17107,17926,18758,19155,19663,20183,21001,21895,22680,23510,23875
Malays,Female,30 - 34 Years,19618,20548,21421,22026,22620,22851,22915,22691,21907,20817,19439,18337,17527,17136,16809,16776,16392,15814,15386,15387,15468,15996,16620,17416,18019,18860,19368,19930,20443
Malays,Female,35 - 39 Years,14908,16005,16901,17935,18777,19686,20587,21438,22019,22603,22848,22910,22754,21802,20757,19529,18456,17651,17333,17063,17052,16564,15996,15492,15347,15401,16003,16674,17557
Malays,Female,40 - 44 Years,10643,11772,12281,12982,14025,14949,16056,16950,17963,18757,19623,20518,21349,21723,22333,22540,22660,22447,21744,20739,19474,18384,17540,17201,16833,16742,16347,15805,15374
Malays,Female,45 - 49 Years,6427,6371,7455,8473,9298,10640,11771,12268,12979,13982,14878,15956,16844,17676,18456,19298,20130,20904,21494,22104,22329,22416,22195,21463,20424,19161,18106,17308,17014
Malays,Female,50 - 54 Years,6592,6662,6818,6744,6665,6378,6304,7351,8371,9174,10467,11569,12057,12547,13598,14486,15582,16433,17398,18169,18971,19774,20462,21018,21576,21786,21870,21701,21023
Malays,Female,55 - 59 Years,6743,6931,6741,6677,6620,6365,6444,6587,6532,6460,6165,6088,7126,7982,8784,10063,11161,11633,12306,13270,14138,15149,15968,16848,17548,18336,19136,19890,20452
Malays,Female,60 - 64 Years,5277,5463,5453,5475,5808,6272,6458,6270,6216,6198,5961,6061,6215,6003,6013,5744,5711,6688,7674,8431,9677,10714,11169,11831,12729,13524,14528,15331,16165
Malays,Female,65 - 69 Years,3471,3673,3842,4098,4407,4677,4808,4821,4857,5192,5635,5851,5685,5508,5497,5324,5438,5615,5547,5541,5325,5288,6246,7166,7900,9085,10029,10498,11160
Malays,Female,70 - 74 Years,2129,2231,2393,2560,2659,2818,3001,3158,3446,3713,3926,4037,4082,4032,4364,4815,5023,4864,4871,4854,4731,4839,4973,4914,4958,4746,4765,5651,6493
Malays,Female,75 - 79 Years,1150,1119,1193,1268,1368,1493,1579,1706,1835,1941,2091,2260,2430,2323,2657,2855,3019,3101,3217,3556,3948,4133,4022,4048,4068,3992,4058,4223,4170
Malays,Female,80 - 84 Years,545,582,675,736,706,678,624,700,771,822,900,968,1103,1189,1283,1375,1442,1563,1691,1870,2011,2142,2229,2395,2632,2936,3095,2981,3024
Malays,Female,85 Years & Over,256,243,293,332,352,366,372,449,482,467,436,413,520,594,629,674,701,842,956,1021,1100,1138,1305,1432,1600,1740,1808,1943,2118
Chinese,Both,0 - 4 Years,157406,166015,173545,175365,172883,174443,172373,171302,168909,162898,157684,155480,150508,143912,139795,134353,128802,127794,127687,129577,128313,126390,127748,127411,126663,127953,130177,129452,126229
