 Subject: Death and Life Expectancy 
 Topic : Death and Life Expectancy 
" Title  : M810141 - Age-specific Death Rates, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Per Thousand Residents
 Female Age Specific Death Rate , 5.4 , 5 , 5 , 4.7 , 4.7 , 4.6 , 4.6 , 4.4 , 4.5 , 4.2 , 4.3 , 4.4 , 4.4 , 4.4 , 4.4 , 4.1 , 4.2 , 4.4 , 4.4 , 4.5 , 4.3 , 4.3 , 4.2 , 4.4 , 4.2 , 4.3 , 4.1 , 4.3 , 4.5 , 4.4 , 4.3 , 4.1 , 4.1 , 4.2 , 4.2 , 4.2 , 4.2 , 4.1 , 4.1 , 4.1 , 4.1 , 3.9 , 4 , 4 , 3.9 , 4 , 4 , 4 , 4 , 3.8 , 3.9 , 4 , 4.1 , 4.2 , 4.3 , 4.3 , 4.3 , 4.5 , 4.5 ,
     Under 1 Year , 31.7 , 28.7 , 25.9 , 23.5 , 25.8 , 21.8 , 23.1 , 22.1 , 21 , 18.2 , 18.7 , 17.6 , 15.6 , 16.4 , 13.6 , 11.6 , 9.4 , 9.9 , 10.1 , 12 , 7.7 , 7.4 , 7.3 , 7.9 , 7 , 6.8 , 6 , 4.9 , 5.4 , 6 , 6.2 , 4.8 , 4.4 , 4.3 , 4 , 3.2 , 3.5 , 3.1 , 4.1 , 3.4 , 2.2 , 2.1 , 2.3 , 2.2 , 1.8 , 1.7 , 2.4 , 1.5 , 1.7 , 1.7 , 2.1 , 1.7 , 1.6 , 2.1 , 1.7 , 1.2 , 2.5 , 2.4 , 1.9 ,
     1 - 4 Years , 3.1 , 2.6 , 2.6 , 1.8 , 1.8 , 1.9 , 2.1 , 1.5 , 1.6 , 1.2 , 1.3 , 1.1 , 1.2 , 1 , 1.1 , 0.9 , 0.6 , 0.7 , 0.6 , 0.8 , 0.6 , 0.7 , 0.5 , 0.6 , 0.6 , 0.4 , 0.3 , 0.3 , 0.4 , 0.4 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.1 , 0.3 , 0.2 , 0.3 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,
     5 - 9 Years , 1 , 0.9 , 0.7 , 0.7 , 0.6 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.5 , 0.3 , 0.5 , 0.4 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.2 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.1 , 0.2 , 0.1 , 0.2 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , - , - , 0.1 , 0.1 , 0.1 , - , - , - , 0.1 , - , 0.1 ,
     10 - 14 Years , 0.6 , 0.5 , 0.6 , 0.5 , 0.4 , 0.5 , 0.5 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , - , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,
     15 - 19 Years , 0.7 , 0.8 , 0.7 , 0.6 , 0.7 , 0.5 , 0.5 , 0.5 , 0.6 , 0.5 , 0.4 , 0.6 , 0.5 , 0.5 , 0.5 , 0.3 , 0.4 , 0.5 , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.4 , 0.2 , 0.3 , 0.3 , 0.2 , 0.3 , 0.2 , 0.3 , 0.2 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.2 , 0.3 , 0.1 , 0.2 , 0.2 , 0.1 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 ,
     20 - 24 Years , 0.9 , 0.9 , 1 , 0.9 , 0.7 , 0.9 , 0.9 , 0.9 , 0.7 , 0.7 , 0.6 , 0.8 , 0.7 , 0.7 , 0.7 , 0.7 , 0.6 , 0.5 , 0.6 , 0.5 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.5 , 0.4 , 0.5 , 0.5 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.2 , 0.2 , 0.3 , 0.4 , 0.3 , 0.3 , 0.2 , 0.2 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.2 , 0.2 , 0.1 , 0.2 ,
     25 - 29 Years , 1.1 , 1.1 , 1 , 1 , 1 , 0.9 , 1.1 , 0.9 , 0.9 , 0.9 , 1.1 , 0.9 , 0.7 , 0.9 , 0.8 , 0.8 , 0.7 , 0.6 , 0.7 , 0.8 , 0.5 , 0.6 , 0.7 , 0.6 , 0.5 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.4 , 0.3 , 0.4 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.2 , 0.2 , 0.3 , 0.2 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 ,
     30 - 34 Years , 1.8 , 1.4 , 1.7 , 1.4 , 1.6 , 1.4 , 1.5 , 1.2 , 1.3 , 1.2 , 1.3 , 1.1 , 1.2 , 1.1 , 1 , 1.1 , 1 , 0.9 , 0.9 , 0.9 , 0.8 , 0.7 , 0.8 , 0.8 , 0.6 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6 , 0.6 , 0.5 , 0.6 , 0.5 , 0.4 , 0.5 , 0.5 , 0.5 , 0.4 , 0.4 , 0.5 , 0.5 , 0.4 , 0.3 , 0.3 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.4 , 0.3 , 0.2 , 0.3 , 0.2 , 0.3 , 0.3 ,
     35 - 39 Years , 2.6 , 2.3 , 2.2 , 2.3 , 2.5 , 2.2 , 2 , 1.4 , 1.7 , 1.7 , 1.6 , 1.8 , 1.4 , 1.5 , 1.3 , 1.5 , 1.4 , 1.3 , 1.4 , 1.5 , 1 , 1.1 , 1 , 1.1 , 1 , 1.2 , 0.8 , 1 , 1.2 , 1 , 1 , 0.7 , 0.7 , 0.8 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6 , 0.6 , 0.7 , 0.6 , 0.7 , 0.6 , 0.5 , 0.5 , 0.5 , 0.4 , 0.5 , 0.4 , 0.5 , 0.4 , 0.5 , 0.4 , 0.3 , 0.4 , 0.3 , 0.3 , 0.4 ,
