Males,50-59,Widowed,2800,3500,2400,3300,2400,3100,2800,2500,3500,2900,3300,3200,3300,2600,3300,3100,2600,2900,2600,2800,2800,2200,3200,2700,3300,3300,2600,3600,3100,3100,3000,3000,3600,3400,3400,2500,3000
Males,50-59,Divorced/Separated,1100,900,1100,2000,1400,1400,1400,1600,1700,2500,2300,2300,2500,2600,3000,3000,2700,3100,4900,5000,5500,6100,5500,7700,8000,8900,9100,9100,10900,9300,10900,11100,10500,13400,14000,11900,14500
Females,50-59,Total,77300,88300,90900,97500,100400,103000,106600,115200,108500,121200,127300,129800,133500,127700,129100,144600,152900,159700,165600,171200,190900,206100,218600,230200,245300,255500,258100,265700,277400,290600,294200,303900,312600,308000,314500,296400,308800
Females,50-59,Single,2200,2200,2600,2500,3200,3300,3300,4100,5400,5600,6000,5700,6500,7200,9800,9800,11700,13700,15100,16300,21400,24500,24400,26300,27800,31100,29700,32700,34500,35200,33700,38100,41300,38300,39000,39900,40300
Females,50-59,Married,54900,65700,69400,73100,72500,77200,80700,87500,82000,92300,96900,98200,100500,99900,95800,112700,118300,121600,126800,129700,144000,156000,166000,174500,185100,191800,195300,200700,208200,220300,227300,230000,235200,232000,234900,219300,230700
Females,50-59,Widowed,18400,19400,17300,19400,21800,20100,20000,20500,18400,19200,20500,21000,22400,15800,18000,16900,17500,17600,15200,16100,16100,15700,16900,16000,16900,16900,15100,15500,15500,14900,12800,15300,13400,14200,16100,12800,11800
Females,50-59,Divorced/Separated,1700,1000,1500,2500,2900,2300,2600,3100,2700,4100,3800,5000,4100,4800,5500,5300,5300,6800,8600,9100,9400,9900,11300,13400,15500,15700,18000,16900,19200,20300,20400,20500,22600,23500,24500,24400,26100
All,60-69,Total,106900,112700,112700,117600,121200,124100,128600,138200,142500,149200,156400,162800,167600,176000,174400,179700,185300,198800,198300,208400,220800,236600,234400,223500,250000,262000,277400,302000,310000,333800,357100,381900,426100,433900,464900,473800,481400
All,60-69,Single,4900,3800,3600,3800,3800,3200,3600,4300,6400,5100,6200,6100,6500,6900,8100,7700,7900,9500,9800,10100,11000,13200,13300,12900,16400,17500,19000,20400,23400,24100,30200,32700,38900,39500,46500,47100,50700
All,60-69,Married,70400,78500,81600,83300,84900,87900,89500,96400,97000,105100,107400,117400,116600,128700,122700,131500,135800,141300,147900,152400,165900,174100,174200,170300,189500,196100,210000,232300,235900,259900,274300,291500,328200,331200,351700,358000,364400
All,60-69,Widowed,30200,29700,26500,28800,30900,30800,33400,35100,37400,36200,40000,36400,41500,37400,40500,38000,38400,43500,35000,39700,37900,41700,39000,32600,35100,37200,36800,35400,36600,32600,34000,37400,36700,40500,42400,43000,38900
All,60-69,Divorced/Separated,1300,700,1000,1700,1600,2200,2100,2300,1800,2900,2800,2900,2900,3100,3100,2500,3200,4400,5600,6200,6000,7500,7900,7800,8900,11300,11600,13800,14100,17300,18600,20200,22300,22700,24200,25800,27400
