Brides,Grooms,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
40-44 Years,45-49 Years,39,53,59,61,71,53,80,102,87,104,97,109,88,101,108,137,124,129,145,152,156,180,178,158,178,179,177,167
40-44 Years,50-54 Years,21,33,34,34,28,36,36,42,36,65,51,43,53,54,57,83,97,87,112,109,84,137,145,117,135,130,141,139
40-44 Years,55-59 Years,13,17,16,16,12,12,14,17,22,17,23,17,29,24,32,43,64,50,64,64,52,90,76,76,92,88,64,62
40-44 Years,60 Years & Over,7,9,12,8,13,17,8,5,12,10,17,10,15,12,13,34,34,29,46,49,32,56,78,67,50,57,60,39
45-49 Years,Under 20 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-49 Years,20-24 Years,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,2,2,3,5,3,3,2,1,2,3
45-49 Years,25-29 Years,0,0,2,0,1,3,2,1,1,2,4,1,4,1,0,6,2,5,6,8,5,4,5,3,4,12,5,6
45-49 Years,30-34 Years,4,0,6,5,7,4,3,7,7,5,5,6,7,7,6,6,8,4,6,11,9,12,11,6,17,12,12,13
45-49 Years,35-39 Years,8,5,13,16,16,15,11,18,15,21,23,8,12,8,15,26,12,14,17,22,24,25,23,19,32,30,33,28
45-49 Years,40-44 Years,9,17,15,7,14,21,29,26,38,40,27,26,46,42,40,42,26,31,45,40,51,36,44,44,71,61,60,60
45-49 Years,45-49 Years,9,21,12,33,28,40,31,44,34,55,47,39,56,56,62,60,79,55,69,83,87,96,85,96,72,99,96,84
45-49 Years,50-54 Years,17,19,23,28,25,19,28,31,32,45,35,44,36,39,55,64,71,69,66,77,99,95,90,101,103,94,73,98
45-49 Years,55-59 Years,9,10,12,17,24,19,15,19,23,23,17,17,24,31,22,33,40,49,43,52,53,77,60,57,64,64,71,73
45-49 Years,60 Years & Over,6,5,5,14,8,13,13,8,14,19,16,19,18,9,26,31,33,31,32,44,47,53,61,49,52,64,63,68
50-54 Years,Under 20 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-54 Years,20-24 Years,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0
50-54 Years,25-29 Years,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0,0,1,5,0,2,5,2,3,1,2
50-54 Years,30-34 Years,0,0,1,0,0,0,2,1,1,3,3,2,0,3,2,3,3,2,1,1,1,8,0,0,6,6,2,1
50-54 Years,35-39 Years,1,0,0,7,2,1,3,1,3,3,5,2,2,2,2,5,4,2,3,9,4,3,3,4,6,5,13,3
50-54 Years,40-44 Years,1,5,2,2,2,2,3,3,3,2,4,3,5,10,12,8,7,9,4,14,8,12,15,14,15,8,16,6
50-54 Years,45-49 Years,6,6,3,4,3,6,7,8,16,13,7,9,13,8,17,15,16,21,20,26,32,25,27,24,29,28,22,25
50-54 Years,50-54 Years,6,12,11,12,8,11,7,9,17,19,20,22,19,23,24,32,30,37,38,40,45,54,46,44,49,51,38,60
50-54 Years,55-59 Years,5,7,4,10,13,7,10,17,16,19,10,10,17,15,14,16,20,31,29,37,43,47,41,39,50,55,45,42
50-54 Years,60 Years & Over,8,12,16,9,6,7,14,13,11,18,15,21,26,15,25,28,20,29,25,34,33,41,38,34,55,43,51,56
55-59 Years,Under 20 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-59 Years,20-24 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
55-59 Years,25-29 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,2
55-59 Years,30-34 Years,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,2,0,0
55-59 Years,35-39 Years,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,2,2,0,0,0,3,0,1,1,1,1,3,2
55-59 Years,40-44 Years,0,0,0,0,2,0,1,1,0,0,1,0,2,0,3,4,0,0,2,1,3,0,2,1,1,4,2,3
55-59 Years,45-49 Years,0,0,2,1,1,1,1,6,1,1,2,2,0,4,5,4,6,5,1,4,4,7,7,2,4,6,6,7
55-59 Years,50-54 Years,0,1,2,2,3,2,2,1,2,2,2,5,4,10,7,9,9,6,10,12,8,10,19,12,14,12,13,11
55-59 Years,55-59 Years,2,5,2,2,4,9,7,3,1,7,5,7,10,5,7,18,11,11,13,24,11,22,17,23,22,22,23,32
55-59 Years,60 Years & Over,5,7,4,7,4,11,5,7,11,17,9,10,16,15,15,13,27,22,28,38,24,28,43,35,38,36,41,42
60 Years & Over,Under 20 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60 Years & Over,20-24 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60 Years & Over,25-29 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
60 Years & Over,30-34 Years,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60 Years & Over,35-39 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60 Years & Over,40-44 Years,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
60 Years & Over,45-49 Years,0,0,0,0,0,0,1,2,0,2,1,3,0,0,1,0,1,1,0,2,2,1,1,2,0,2,1,1
60 Years & Over,50-54 Years,0,0,2,2,2,1,1,0,1,2,4,1,1,1,2,5,2,1,1,1,2,4,5,1,1,2,3,6
60 Years & Over,55-59 Years,0,1,0,2,4,0,0,1,4,4,3,4,3,1,3,3,3,4,3,5,2,5,10,6,4,5,9,11
60 Years & Over,60 Years & Over,6,5,4,6,7,6,10,12,6,9,9,13,6,5,17,13,14,13,27,21,27,42,45,27,40,64,53,42
